,ticker,price,cap,sharesBuy
0,A,129.63,39506657434,
1,AAL,17.74,10818388922,
2,AAP,157.99,10404593962,
3,AAPL,139.74,2364611707950,
4,ABBV,109.23,185330568462,
5,ABC,107.68,22197419487,
6,ABMD,344.7,15507108487,
7,ABT,128.79,229279108521,
8,ACN,258.17,171326863116,
9,ADBE,510.81,248823869980,
10,ADI,163.68,62261728743,
11,ADM,56.31,32129381788,
12,ADP,170.45,73522243078,
13,ADSK,306.73,70064714893,
14,AEE,74.59,18517612716,
15,AEP,81.85,39934396970,
16,AES,29.43,19114147266,
17,AFL,48.89,33290955967,
18,AIG,42.4,36775955095,
19,AIV,5.1,782377618,
20,AIZ,128.42,7681480548,
21,AJG,116.69,23320491560,
22,AKAM,102.3,17236984284,
23,ALB,169.64,20022516954,
24,ALGN,624.81,48452466306,
25,ALK,58.91,7311935177,
26,ALL,105.56,31769445213,
27,ALLE,122.3,11082826889,
28,ALXN,158.52,36316930441,
29,AMAT,122.5,107881234462,
30,AMCR,11.6,18508057083,
31,AMD,96.06,116894240420,
32,AME,126.5,28013297209,
33,AMGN,248.04,141076837269,
34,AMP,225.48,25792075282,
35,AMT,227.85,105371003840,
36,AMZN,3394.01,1706220221908,
37,ANET,339.29,25403614179,
38,ANSS,409.1,35516608629,
39,ANTM,299.73,73373682417,
40,AON,231.41,52614278163,
41,AOS,62.86,10209363421,
42,APA,18.08,6741121125,
43,APD,273.08,58224154270,
44,APH,142.6,42580311516,
45,APTV,157.01,43443931429,
46,ARE,174.5,23677036921,
47,ATO,95.49,11680998753,
48,ATVI,105.93,81736846298,
49,AVB,183.38,25965013468,
50,AVGO,496.16,199066561483,
51,AVY,177.67,14953208136,
52,AWK,165.57,30297981137,
53,AXP,131.49,105906219108,
54,AZO,1177.14,27260104518,
55,BA,220.78,125122193667,
56,BAC,34.6,301800311374,
57,BAX,79.72,40853061298,
58,BBY,124.21,32043186282,
59,BDX,267.81,76977959651,
60,BEN,27.81,14214000966,
61,BF.B,78.73,36722633951,
62,BIIB,279.51,43063944925,
63,BIO,678.61,20749723116,
64,BK,42.88,37670692752,
65,BKNG,2225.61,88912827098,
66,BKR,23.6,24423216816,
67,BLK,753.96,111356416425,
68,BLL,92.73,29710998130,
69,BMY,61.57,140846846146,
70,BR,152.7,17394512406,
71,BRK.B,253.61,583228104339,
72,BSX,39.86,56271960318,
73,BWA,43.93,10765269242,
74,BXP,95.8,14767680511,
75,C,66.21,133549632828,
76,CAG,35.62,16966219740,
77,CAH,53.0,15623918964,
78,CARR,37.59,33334074940,
79,CAT,200.85,112806334426,
80,CB,169.76,74860301501,
81,CBOE,92.76,9991240703,
82,CBRE,73.73,24536154604,
83,CCI,169.65,71823916817,
84,CCL,21.4,23508519230,
85,CDNS,149.72,41810912777,
86,CDW,160.9,22352690095,
87,CE,133.49,15614350337,
88,CERN,77.26,23184190838,
89,CF,45.73,9550437463,
90,CFG,42.29,18049018086,
91,CHD,85.69,21073239222,
92,CHRW,94.5,12710244525,
93,CHTR,617.34,120870009609,
94,CI,216.59,76083012992,
95,CINF,96.87,15597874378,
96,CL,80.36,67838893383,
97,CLX,194.35,24400683360,
98,CMA,64.83,8692736051,
99,CMCSA,55.87,249352978110,
100,CME,186.61,69131443487,
101,CMG,1543.3,44740985616,
102,CMI,244.31,36473575112,
103,CMS,57.46,16325765365,
104,CNC,62.0,35784133460,
105,CNP,21.42,11987973248,
106,COF,121.09,55390484806,
107,COG,19.0,7426278176,
108,COO,386.9,21046495254,
109,COP,48.23,51124888740,
110,COST,357.68,158297469212,
111,COTY,6.84,5274894809,
112,CPB,47.78,14693831512,
113,CPRT,125.151,28655522852,
114,CRM,242.05,220434240537,
115,CSCO,48.3,203962511201,
116,CSX,91.79,68869665740,
117,CTAS,347.56,37654095610,
118,CTL,11.0,12626929546,
119,CTSH,78.05,42509596342,
120,CTVA,45.22,34696835106,
121,CTXS,137.95,16979607995,
122,CVS,76.16,98760599670,
123,CVX,94.39,178900522578,
124,CXO,68.8,13053494023,
125,D,74.41,60260016849,
126,DAL,44.84,27685533521,
127,DD,72.56,54107415922,
128,DE,327.0,101273324997,
129,DFS,95.77,28812114904,
130,DG,208.1,48754785045,
131,DGX,126.37,17293132787,
132,DHI,83.3,30516977757,
133,DHR,246.6,177857081519,
134,DIS,189.03,347270573507,
135,DISCA,48.5,21363862072,
136,DISCK,42.03,21764160396,
137,DISH,32.37,17261510667,
138,DLR,146.3,39630172365,
139,DLTR,109.898,25743425834,
140,DOV,124.19,17881057836,
141,DOW,61.03,43398859062,
142,DPZ,398.75,15701456345,
143,DRE,43.05,15516051234,
144,DRI,134.13,17013681960,
145,DTE,121.64,23901562173,
146,DUK,90.97,68203864675,
147,DVA,106.58,12243639155,
148,DVN,20.85,13496859399,
149,DXC,26.85,6729762238,
150,DXCM,420.24,41402907697,
151,EA,147.93,43432085338,
152,EBAY,65.8,43292604658,
153,ECL,228.63,64551285805,
154,ED,73.94,24458107896,
155,EFX,179.42,21799463205,
156,EIX,58.69,22756669427,
157,EL,302.12,107423024009,
158,EMN,112.09,15377837165,
159,EMR,86.32,53690637753,
160,EOG,62.05,36532231684,
161,EQIX,732.92,65592082378,
162,EQR,70.47,25692787864,
163,ES,86.53,29540315463,
164,ESS,278.31,18378828183,
165,ETFC,50.28,11376331901,
166,ETN,128.44,50597942177,
167,ETR,97.4,19752516005,
168,EVRG,57.07,12406994466,
169,EW,88.92,55189411211,
170,EXC,43.95,41216162910,
171,EXPD,99.99,16807041580,
172,EXPE,148.87,20195427556,
173,EXR,122.01,16091764363,
174,F,11.61,45681481250,
175,FANG,71.58,11283238756,
176,FAST,47.76,28577264925,
177,FB,279.5,809180110681,
178,FBHS,93.67,12504250894,
179,FCX,32.15,46146864222,
180,FDX,274.0,71152288796,
181,FE,32.78,16989763350,
182,FFIV,215.22,13450145134,
183,FIS,138.6,86073029668,
184,FISV,112.85,76907895367,
185,FITB,33.38,23332514536,
186,FLIR,56.52,7394362435,
187,FLS,40.12,5362745022,
188,FLT,266.9,22672171554,
189,FMC,110.0,14003580819,
190,FOX,31.59,19029081098,
191,FOXA,33.58,19788960367,
192,FRC,156.95,27610671766,
193,FRT,105.1,8221533583,
194,FTI,10.42,4821922719,
195,FTNT,170.42,27358713613,
196,FTV,74.81,25157155804,
197,GD,171.12,47518790751,
198,GE,12.0,105102348138,
199,GILD,68.07,84386694810,
200,GIS,57.4,35313541380,
201,GL,97.86,10308755780,
202,GLW,38.29,29439342047,
203,GM,55.7,80430890403,
204,GOOG,2109.78,1443107865948,
205,GOOGL,2170.87,1465654903434,
206,GPC,100.92,14563324068,
207,GPN,197.33,61359325709,
208,GPS,23.81,8818861074,
209,GRMN,133.1,26162825007,
210,GS,320.38,105732146092,
211,GWW,378.28,20736272729,
212,HAL,20.25,18687644940,
213,HAS,92.74,12793813396,
214,HBAN,14.89,14887678611,
215,HBI,19.17,6458760769,
216,HCA,181.7,61118063101,
217,HD,280.59,305851021455,
218,HES,62.0,19046567628,
219,HFC,32.22,5367334868,
220,HIG,50.08,18530138779,
221,HII,184.32,7316272385,
222,HLT,115.56,32154180893,
223,HOLX,83.86,21810438608,
224,HON,205.93,143228835220,
225,HPE,14.48,18904185761,
226,HPQ,27.51,36608868026,
227,HRB,20.2,3694256780,
228,HRL,48.39,26532871668,
229,HSIC,71.29,10124447638,
230,HST,15.0,10526262259,
231,HSY,154.21,31707308067,
232,HUM,390.56,52569380150,
233,HWM,28.66,12804146035,
234,IBM,125.8,108056358196,
235,ICE,116.12,62783518836,
236,IDXX,556.65,47261488292,
237,IEX,203.26,15736615098,
238,IFF,136.86,14586855701,
239,ILMN,525.22,76557970677,
240,INCY,87.787,19277462283,
241,INFO,96.17,40006440291,
242,INTC,64.51,256601307079,
243,INTU,424.61,114355372639,
244,IP,50.28,19730609808,
245,IPG,24.74,9652557426,
246,IPGP,256.2,13555345711,
247,IQV,201.25,37338105410,
248,IR,44.33,18919530636,
249,IRM,33.28,9824091762,
250,ISRG,824.85,99638953175,
251,IT,190.28,16478470426,
252,ITW,205.35,64985256403,
253,IVZ,22.89,10638034037,
254,J,116.6,15210423497,
255,JBHT,149.19,15886173211,
256,JCI,54.01,39185135514,
257,JKHY,152.85,11119811244,
258,JNJ,171.54,447448043328,
259,JNPR,26.51,8512510333,
260,JPM,142.15,441741775145,
261,K,59.61,19902298277,
262,KEY,19.7,19506403177,
263,KEYS,159.87,28722440938,
264,KHC,36.97,44162602630,
265,KIM,18.9,7985272241,
266,KLAC,346.27,53538741717,
267,KMB,135.65,46464864835,
268,KMI,15.02,34919954312,
269,KMX,125.5,20756868913,
270,KO,52.94,223723349684,
271,KR,34.24,26236698485,
272,KSS,51.54,7964256324,
273,KSU,215.67,19414239240,
274,L,48.88,13239040436,
275,LB,48.77,13522119123,
276,LDOS,112.2,15508948364,
277,LEG,43.18,5843012862,
278,LEN,95.86,28360958888,
279,LH,239.92,23480913917,
280,LHX,193.52,40490119684,
281,LIN,257.01,138455662817,
282,LKQ,37.74,11583308879,
283,LLY,216.84,205307302401,
284,LMT,345.96,97570349183,
285,LNC,54.81,10567943461,
286,LNT,48.83,12067293340,
287,LOW,180.41,131030224495,
288,LRCX,598.46,85464760422,
289,LUV,53.23,30785810973,
290,LVS,56.2,43277010435,
291,LW,77.59,11693680575,
292,LYB,99.79,32551886566,
293,LYV,86.12,18308451682,
294,MA,354.0,348894778438,
295,MAA,139.72,16162236350,
296,MAR,134.77,42484268608,
